Item,Category,Brand,Supplier,UnitCost
Mouse Model 0,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 1,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 2,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 3,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 4,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 5,Electronics,BrandB,SupplierX,10.01
Mouse Model 6,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 7,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 8,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 9,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 10,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 11,Electronics,BrandB,SupplierX,10.01
Mouse Model 12,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 13,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 14,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 15,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 16,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 17,Electronics,BrandB,SupplierX,10.01
Mouse Model 18,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 19,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 20,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 21,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 22,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 23,Electronics,BrandB,SupplierX,10.01
Mouse Model 24,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 25,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 26,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 27,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 28,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 29,Electronics,BrandB,SupplierX,10.01
Mouse Model 30,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 31,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 32,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 33,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 34,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 35,Electronics,BrandB,SupplierX,10.01
Mouse Model 36,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 37,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 38,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 39,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 40,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 41,Electronics,BrandB,SupplierX,10.01
Mouse Model 42,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 43,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 44,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 45,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 46,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 47,Electronics,BrandB,SupplierX,10.01
Mouse Model 48,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 49,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 50,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 51,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 52,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 53,Electronics,BrandB,SupplierX,10.01
Mouse Model 54,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 55,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 56,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 57,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 58,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 59,Electronics,BrandB,SupplierX,10.01
Mouse Model 60,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 61,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 62,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 63,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 64,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 65,Electronics,BrandB,SupplierX,10.01
Mouse Model 66,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 67,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 68,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 69,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 70,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 71,Electronics,BrandB,SupplierX,10.01
Mouse Model 72,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 73,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 74,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 75,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 76,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 77,Electronics,BrandB,SupplierX,10.01
Mouse Model 78,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 79,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 80,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 81,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 82,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 83,Electronics,BrandB,SupplierX,10.01
Mouse Model 84,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 85,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 86,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 87,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 88,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 89,Electronics,BrandB,SupplierX,10.01
Mouse Model 90,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 91,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 92,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 93,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 94,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 95,Electronics,BrandB,SupplierX,10.01
Mouse Model 96,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 97,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 98,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 99,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 100,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 101,Electronics,BrandB,SupplierX,10.01
Mouse Model 102,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 103,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 104,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 105,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 106,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 107,Electronics,BrandB,SupplierX,10.01
Mouse Model 108,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 109,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 110,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 111,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 112,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 113,Electronics,BrandB,SupplierX,10.01
Mouse Model 114,Office Supplies,BrandD,SupplierZ,148.41
